City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Sena Madureira,BR,76.03,broken clouds,-9.0656,-68.6569,Hotel Central
7,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
16,Pemba,MZ,78.66,clear sky,-12.974,40.5178,Guesthouse Samotina
21,Samarai,PG,82.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
29,Sabang,ID,81.27,overcast clouds,5.8933,95.3214,Hotel Citra
30,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
34,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
41,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
43,Pekalongan,ID,77.31,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
44,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
46,Poum,NC,80.44,overcast clouds,-20.2333,164.0167,Gîte kajeon
48,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
54,Vaini,TO,80.55,light rain,-21.2,-175.2,Keleti Beach Resort
60,Kudahuvadhoo,MV,81.52,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
63,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
76,Sabya,SA,76.62,few clouds,17.1495,42.6254,Aseel Hotel Apartment
81,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,General Roca,AR,77.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
92,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
97,Sokoni,TZ,79.77,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
98,Sao Miguel Do Iguacu,BR,81.61,scattered clouds,-25.3481,-54.2378,Hotel Itaguaçu
99,Kavaratti,IN,81.21,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
100,Sao Borja,BR,81.93,clear sky,-28.6606,-56.0044,Hotel Executivo
102,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
104,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
116,Jaboatao,BR,83.59,broken clouds,-8.1803,-35.0014,MARCIELA MELO IRIS
118,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
119,Bengkulu,ID,75.85,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
124,Dingle,PH,78.4,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
126,Atar,MR,79.61,overcast clouds,20.5169,-13.0499,Oumou Elghoura
127,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
128,Sao Jose Da Coroa Grande,BR,78.8,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
135,Muisne,EC,76.46,light rain,0.6,-80.0333,Quinta Samay
145,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
147,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
152,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
153,Pangkalanbuun,ID,77.43,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
155,Banda Aceh,ID,76.42,broken clouds,5.5577,95.3222,Sulthan Hotel International
