City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds
1,Mehran,IR,33.1222,46.1646,42.28,45,9,7.58,clear sky
2,Ray,IN,23.6833,85.05,52.57,46,3,2.01,clear sky
3,Ngunguru,NZ,-35.6167,174.5,72.16,70,96,16.28,overcast clouds
4,Geraldton,AU,-28.7667,114.6,72.01,83,100,9.22,overcast clouds
5,Srednekolymsk,RU,67.45,153.6833,-29.49,100,100,2.42,overcast clouds
6,Sena Madureira,BR,-9.0656,-68.6569,76.03,91,71,2.28,broken clouds
7,Hilo,US,19.7297,-155.09,77.11,61,20,8.05,few clouds
8,New Norfolk,AU,-42.7826,147.0587,73.65,48,3,1.01,clear sky
9,Buraydah,SA,26.326,43.975,55.85,41,86,11.59,overcast clouds
10,Sept-Iles,CA,50.2001,-66.3821,10.06,64,75,8.99,broken clouds
11,Mersing,MY,2.4312,103.8405,78.71,83,96,5.75,overcast clouds
12,Boguchany,RU,58.3814,97.4531,-11.0,100,100,0.16,overcast clouds
13,Castro,BR,-24.7911,-50.0119,63.25,98,98,9.19,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,71.91,86,97,12.84,overcast clouds
15,Duki,PK,30.1541,68.5728,50.32,45,0,2.15,clear sky
16,Pemba,MZ,-12.974,40.5178,78.66,75,1,1.77,clear sky
17,Cidreira,BR,-30.1811,-50.2056,73.76,70,5,18.92,clear sky
18,Hasaki,JP,35.7333,140.8333,36.0,47,100,16.75,overcast clouds
19,Antalaha,MG,-14.9003,50.2788,74.79,87,18,7.05,few clouds
20,Bethel,US,41.3712,-73.414,22.5,56,0,3.44,clear sky
21,Samarai,PG,-10.6167,150.6667,82.78,72,100,10.27,overcast clouds
22,Albany,US,42.6001,-73.9662,16.45,48,15,4.21,few clouds
23,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,57,15.08,broken clouds
24,Marsh Harbour,BS,26.5412,-77.0636,63.25,57,99,10.63,overcast clouds
25,Longhua,CN,23.6137,114.1919,46.72,64,98,3.38,light rain
26,Ushuaia,AR,-54.8,-68.3,44.26,70,40,28.77,scattered clouds
27,Ilulissat,GL,69.2167,-51.1,3.22,55,20,18.41,few clouds
28,Tiksi,RU,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds
29,Sabang,ID,5.8933,95.3214,81.27,76,88,9.48,overcast clouds
30,Kapaa,US,22.0752,-159.319,79.48,66,0,1.01,clear sky
31,Acapulco,MX,16.8634,-99.8901,84.02,65,20,5.75,few clouds
32,Watsa,CD,3.0372,29.5355,65.8,41,96,1.12,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,-6.45,79,75,8.05,light snow
34,Isangel,VU,-19.55,169.2667,82.51,94,100,4.61,overcast clouds
35,Port Alfred,ZA,-33.5906,26.891,73.4,89,98,16.98,overcast clouds
36,Ilave,PE,-16.0833,-69.6667,49.44,78,83,5.1,heavy intensity rain
37,Keita,NE,14.7551,5.7749,67.08,13,2,15.93,clear sky
38,Ambilobe,MG,-13.2,49.05,73.85,94,73,1.03,broken clouds
39,Jamestown,US,42.097,-79.2353,18.72,60,100,0.0,overcast clouds
40,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,20,11.5,few clouds
41,Vila Velha,BR,-20.3297,-40.2925,78.94,85,20,5.75,few clouds
42,Mataura,NZ,-46.1927,168.8643,73.99,58,46,1.7,scattered clouds
43,Pekalongan,ID,-6.8886,109.6753,77.31,86,100,5.48,overcast clouds
44,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,light rain
45,Ravar,IR,31.2656,56.8055,45.81,40,87,1.45,overcast clouds
46,Poum,NC,-20.2333,164.0167,80.44,74,98,9.04,overcast clouds
47,Sibiti,CG,-3.6819,13.3499,69.76,97,99,2.44,overcast clouds
48,Conde,BR,-7.2597,-34.9075,78.26,94,20,4.61,few clouds
49,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,26.46,broken clouds
50,Tuatapere,NZ,-46.1333,167.6833,69.73,66,28,4.23,scattered clouds
51,Bredasdorp,ZA,-34.5322,20.0403,69.12,88,87,8.05,overcast clouds
52,Karasjok,NO,69.4719,25.5112,6.91,99,19,3.15,few clouds
53,Lebu,CL,-37.6167,-73.65,59.13,68,0,20.71,clear sky
54,Vaini,TO,-21.2,-175.2,80.55,75,100,12.12,light rain
55,Sidi Ali,DZ,36.0998,0.4206,51.73,44,0,2.84,clear sky
56,Imphal,IN,24.8167,93.95,41.47,91,2,2.01,clear sky
57,Busselton,AU,-33.65,115.3333,65.08,61,92,17.98,overcast clouds
58,Tongliao,CN,43.6125,122.2653,-7.58,99,61,3.04,broken clouds
59,Avarua,CK,-21.2078,-159.775,71.65,100,75,3.44,moderate rain
60,Kudahuvadhoo,MV,2.6708,72.8944,81.52,77,56,12.24,broken clouds
61,Dekernes,EG,31.0876,31.595,47.59,58,100,5.59,overcast clouds
62,Kodiak,US,57.79,-152.4072,27.91,64,0,11.5,clear sky
63,Atuona,PF,-9.8,-139.0333,78.19,77,12,14.38,light rain
64,Nemuro,JP,43.3236,145.575,16.59,66,38,12.62,scattered clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,67.87,80,75,15.01,broken clouds
66,Sitka,US,57.0531,-135.33,39.09,75,75,5.75,broken clouds
67,Hannibal,US,39.7084,-91.3585,29.12,69,100,7.02,overcast clouds
68,La Ronge,CA,55.1001,-105.2842,12.45,79,100,5.75,overcast clouds
69,Hobart,AU,-42.8794,147.3294,74.01,65,20,6.91,few clouds
70,Khatanga,RU,71.9667,102.5,-5.49,98,99,9.46,overcast clouds
71,Kruisfontein,ZA,-34.0033,24.7314,65.88,96,84,2.75,broken clouds
72,Rawson,AR,-43.3002,-65.1023,59.4,40,66,8.25,broken clouds
73,Shingu,JP,33.7333,135.9833,42.91,71,35,6.42,scattered clouds
74,Koboko,UG,3.4136,30.9599,69.06,32,80,5.44,broken clouds
75,Ribeira Grande,PT,38.5167,-28.7,59.04,74,56,25.68,broken clouds
76,Sabya,SA,17.1495,42.6254,76.62,76,23,5.14,few clouds
77,Constitucion,CL,-35.3333,-72.4167,63.43,70,4,18.39,clear sky
78,Ponta Do Sol,PT,32.6667,-17.1,65.12,38,1,9.64,clear sky
79,Ancud,CL,-41.8697,-73.8203,60.42,59,35,10.94,scattered clouds
80,Nova Granada,BR,-20.5339,-49.3142,70.05,92,96,8.39,overcast clouds
81,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
82,Alice Springs,AU,-23.7,133.8833,74.75,94,100,9.22,light rain
83,Saint George,US,37.1041,-113.5841,63.43,16,0,1.99,clear sky
84,General Roca,AR,-39.0333,-67.5833,77.4,13,5,20.31,clear sky
85,Ati,TD,13.2154,18.3353,61.7,18,1,11.52,clear sky
86,Cape Town,ZA,-33.9258,18.4232,72.12,78,0,4.0,clear sky
87,Leningradskiy,RU,69.3833,178.4167,-14.26,94,80,4.23,broken clouds
