City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Victoria,HK,2022-01-29 21:45:46,22.2855,114.1577,60.24,82,96,1.01
1,Jamestown,US,2022-01-29 21:46:52,42.097,-79.2353,15.12,35,0,11.5
2,Arraial Do Cabo,BR,2022-01-29 21:50:28,-22.9661,-42.0278,75.16,83,75,9.22
3,Hilo,US,2022-01-29 21:47:23,19.7297,-155.09,78.53,56,20,8.05
4,Los Llanos De Aridane,ES,2022-01-29 21:50:29,28.6585,-17.9182,58.75,73,75,7.0
5,Klaksvik,FO,2022-01-29 21:50:29,62.2266,-6.589,34.72,64,49,24.23
6,Hasaki,JP,2022-01-29 21:50:30,35.7333,140.8333,28.8,57,74,20.11
7,Keetmanshoop,NA,2022-01-29 21:50:30,-26.5833,18.1333,81.52,44,96,3.44
8,Vaini,TO,2022-01-29 21:50:30,-21.2,-175.2,81.48,78,100,15.75
9,Bengkulu,ID,2022-01-29 21:50:31,-3.8004,102.2655,75.76,91,100,4.03
10,Busselton,AU,2022-01-29 21:50:31,-33.65,115.3333,67.05,91,7,13.53
11,Halifax,CA,2022-01-29 21:50:32,44.6453,-63.5724,34.21,98,100,7.0
12,Atuona,PF,2022-01-29 21:50:32,-9.8,-139.0333,77.63,76,14,12.19
13,Touros,BR,2022-01-29 21:50:33,-5.1989,-35.4608,79.7,78,87,10.45
14,Tual,ID,2022-01-29 21:50:33,-5.6667,132.75,82.74,77,100,14.38
15,Baie-Comeau,CA,2022-01-29 21:50:34,49.2168,-68.1489,6.8,51,100,12.66
16,Beringovskiy,RU,2022-01-29 21:50:34,63.05,179.3167,-11.04,100,96,3.31
17,Kapaa,US,2022-01-29 21:50:34,22.0752,-159.319,80.58,70,20,3.0
18,Kastamonu,TR,2022-01-29 21:50:35,41.5,33.6667,19.83,96,74,0.74
19,Ancud,CL,2022-01-29 21:46:44,-41.8697,-73.8203,65.43,91,64,12.57
20,Punta Arenas,CL,2022-01-29 21:48:11,-53.15,-70.9167,53.71,54,75,17.27
21,Bluff,NZ,2022-01-29 21:50:35,-46.6,168.3333,58.89,87,100,7.23
22,Longyearbyen,SJ,2022-01-29 21:50:36,78.2186,15.6401,8.44,66,0,14.97
23,Ostrovnoy,RU,2022-01-29 21:50:36,68.0531,39.5131,14.22,88,83,13.04
24,Panaba,MX,2022-01-29 21:50:36,21.2833,-88.2667,69.78,54,97,16.89
25,Valparaiso,CL,2022-01-29 21:50:19,-33.0393,-71.6273,75.43,55,20,13.8
26,Bredasdorp,ZA,2022-01-29 21:50:37,-34.5322,20.0403,66.27,77,5,6.91
27,Huilong,CN,2022-01-29 21:50:37,31.8111,121.655,37.04,87,100,12.15
28,Nyurba,RU,2022-01-29 21:50:38,63.2842,118.3319,-21.51,99,92,4.88
29,Severo-Kurilsk,RU,2022-01-29 21:50:38,50.6789,156.125,23.79,77,92,18.37
30,Esperance,AU,2022-01-29 21:48:02,-33.8667,121.9,62.44,78,1,12.21
31,Rikitea,PF,2022-01-29 21:50:39,-23.1203,-134.9692,77.23,72,100,10.4
32,Trat,TH,2022-01-29 21:50:39,12.5,102.5,82.98,97,55,1.21
33,Barrow,US,2022-01-29 21:50:39,71.2906,-156.7887,-7.58,77,100,11.5
34,Ust-Ishim,RU,2022-01-29 21:50:40,57.6935,71.1665,7.02,91,100,6.33
35,Mabaruma,GY,2022-01-29 21:50:40,8.2,-59.7833,74.37,78,22,4.09
36,Albany,US,2022-01-29 21:48:29,42.6001,-73.9662,13.64,61,100,3.0
37,Buala,SB,2022-01-29 21:50:41,-8.145,159.5921,82.17,80,100,7.29
38,Wahpeton,US,2022-01-29 21:50:41,46.2652,-96.6059,23.02,74,75,20.71
39,Lianran,CN,2022-01-29 21:50:42,24.9227,102.485,32.54,69,0,1.48
40,Saskylakh,RU,2022-01-29 21:50:42,71.9167,114.0833,-21.17,100,99,3.49
41,Faanui,PF,2022-01-29 21:50:42,-16.4833,-151.75,80.22,73,18,9.66
42,Tandil,AR,2022-01-29 21:50:06,-37.3217,-59.1332,73.6,67,98,7.99
43,East London,ZA,2022-01-29 21:48:20,-33.0153,27.9116,71.56,82,82,9.66
